combined_index,source_run,source_index,timestamp,bit,p0,p1,confidence,model,elapsed_ms,input_tokens,output_tokens
15,random-bits-20260922-094842-551239,15,2026-09-22T09:48:50.546963+08:00,0,0.72,0.28,0.44,jev-1.13.0,638.78,310,31
16,random-bits-20260922-094842-551239,16,2026-09-22T09:48:51.185991+08:00,0,0.69,0.31,0.39,jev-1.13.0,367.23,310,31
17,random-bits-20260922-094842-551239,17,2026-09-22T09:48:51.553474+08:00,0,0.7,0.3,0.4,jev-1.13.0,387.51,310,31
18,random-bits-20260922-094842-551239,18,2026-09-22T09:48:51.941221+08:00,0,0.69,0.31,0.39,jev-1.13.0,359.66,310,31
19,random-bits-20260922-094842-551239,19,2026-09-22T09:48:52.301133+08:00,0,0.68,0.32,0.35,jev-1.13.0,366.81,310,31
20,random-bits-20260922-094842-551239,20,2026-09-22T09:48:52.668188+08:00,0,0.7,0.3,0.41,jev-1.13.0,365.26,310,31
21,random-bits-20260922-094842-551239,21,2026-09-22T09:48:53.033725+08:00,0,0.66,0.34,0.33,jev-1.13.0,344.8,310,31
22,random-bits-20260922-094842-551239,22,2026-09-22T09:48:53.378933+08:00,0,0.67,0.33,0.34,jev-1.13.0,397.75,310,31
23,random-bits-20260922-094842-551239,23,2026-09-22T09:48:53.776931+08:00,0,0.7,0.3,0.4,jev-1.13.0,432.08,310,31
24,random-bits-20260922-094842-551239,24,2026-09-22T09:48:54.209351+08:00,0,0.69,0.31,0.38,jev-1.13.0,1964.55,310,31
25,random-bits-20260922-094842-551239,25,2026-09-22T09:48:56.174236+08:00,0,0.67,0.33,0.34,jev-1.13.0,768.36,310,31
26,random-bits-20260922-094842-551239,26,2026-09-22T09:48:56.942895+08:00,0,0.66,0.34,0.33,jev-1.13.0,1081.85,310,31
27,random-bits-20260922-094842-551239,27,2026-09-22T09:48:58.025019+08:00,0,0.7,0.3,0.41,jev-1.13.0,360.98,310,31
28,random-bits-20260922-094842-551239,28,2026-09-22T09:48:58.386245+08:00,0,0.67,0.33,0.34,jev-1.13.0,384.23,310,31
29,random-bits-20260922-094842-551239,29,2026-09-22T09:48:58.770836+08:00,0,0.7,0.3,0.39,jev-1.13.0,370.9,310,31
30,random-bits-20260922-094842-551239,30,2026-09-22T09:48:59.142061+08:00,0,0.68,0.32,0.36,jev-1.13.0,382.08,310,31
31,random-bits-20260922-094842-551239,31,2026-09-22T09:48:59.524415+08:00,0,0.69,0.31,0.38,jev-1.13.0,350.11,310,31
32,random-bits-20260922-094842-551239,32,2026-09-22T09:48:59.874873+08:00,0,0.68,0.32,0.37,jev-1.13.0,358.54,310,31
33,random-bits-20260922-094842-551239,33,2026-09-22T09:49:00.233676+08:00,0,0.67,0.33,0.35,jev-1.13.0,397.31,310,31
34,random-bits-20260922-094842-551239,34,2026-09-22T09:49:00.631230+08:00,0,0.7,0.3,0.39,jev-1.13.0,401.29,310,31
35,random-bits-20260922-094842-551239,35,2026-09-22T09:49:01.032772+08:00,0,0.69,0.31,0.38,jev-1.13.0,354.57,310,31
36,random-bits-20260922-094842-551239,36,2026-09-22T09:49:01.387595+08:00,0,0.68,0.32,0.36,jev-1.13.0,363.7,310,31
37,random-bits-20260922-094842-551239,37,2026-09-22T09:49:01.751654+08:00,0,0.69,0.31,0.38,jev-1.13.0,373.62,310,31
38,random-bits-20260922-094842-551239,38,2026-09-22T09:49:02.125637+08:00,0,0.69,0.31,0.39,jev-1.13.0,376.86,310,31
39,random-bits-20260922-094842-551239,39,2026-09-22T09:49:02.502834+08:00,0,0.65,0.35,0.31,jev-1.13.0,380.92,310,31
40,random-bits-20260922-094842-551239,40,2026-09-22T09:49:02.884082+08:00,0,0.7,0.3,0.4,jev-1.13.0,371.34,310,31
41,random-bits-20260922-094842-551239,41,2026-09-22T09:49:03.255776+08:00,0,0.71,0.29,0.41,jev-1.13.0,638.45,310,31
42,random-bits-20260922-094842-551239,42,2026-09-22T09:49:03.894473+08:00,0,0.71,0.29,0.42,jev-1.13.0,2030.93,310,31
43,random-bits-20260922-094842-551239,43,2026-09-22T09:49:05.925662+08:00,0,0.7,0.3,0.4,jev-1.13.0,345.11,310,31
44,random-bits-20260922-094842-551239,44,2026-09-22T09:49:06.271021+08:00,0,0.71,0.29,0.42,jev-1.13.0,359.9,310,31
45,random-bits-20260922-094842-551239,45,2026-09-22T09:49:06.631296+08:00,0,0.69,0.31,0.38,jev-1.13.0,375.15,310,31
46,random-bits-20260922-094842-551239,46,2026-09-22T09:49:07.006729+08:00,0,0.68,0.32,0.35,jev-1.13.0,1122.69,310,31
47,random-bits-20260922-094842-551239,47,2026-09-22T09:49:08.129760+08:00,0,0.67,0.33,0.33,jev-1.13.0,370.87,310,31
48,random-bits-20260922-094842-551239,48,2026-09-22T09:49:08.500887+08:00,0,0.66,0.34,0.32,jev-1.13.0,385.43,310,31
49,random-bits-20260922-094842-551239,49,2026-09-22T09:49:08.886644+08:00,0,0.72,0.28,0.44,jev-1.13.0,395.1,310,31
50,random-bits-20260922-094842-551239,50,2026-09-22T09:49:09.282042+08:00,0,0.68,0.32,0.36,jev-1.13.0,614.18,310,31
51,random-bits-20260922-094842-551239,51,2026-09-22T09:49:09.896451+08:00,0,0.66,0.34,0.32,jev-1.13.0,366.49,310,31
52,random-bits-20260922-094842-551239,52,2026-09-22T09:49:10.263242+08:00,0,0.68,0.32,0.36,jev-1.13.0,361.78,310,31
53,random-bits-20260922-094842-551239,53,2026-09-22T09:49:10.625395+08:00,0,0.7,0.3,0.4,jev-1.13.0,394.4,310,31
54,random-bits-20260922-094842-551239,54,2026-09-22T09:49:11.020022+08:00,0,0.69,0.31,0.38,jev-1.13.0,420.27,310,31
55,random-bits-20260922-094842-551239,55,2026-09-22T09:49:11.440529+08:00,0,0.69,0.31,0.39,jev-1.13.0,371.78,310,31
56,random-bits-20260922-094842-551239,56,2026-09-22T09:49:11.812713+08:00,0,0.69,0.31,0.38,jev-1.13.0,348.01,310,31
57,random-bits-20260922-094842-551239,57,2026-09-22T09:49:12.161028+08:00,0,0.68,0.32,0.35,jev-1.13.0,348.08,310,31
58,random-bits-20260922-094842-551239,58,2026-09-22T09:49:12.509435+08:00,0,0.7,0.3,0.4,jev-1.13.0,1041.48,310,31
59,random-bits-20260922-094842-551239,59,2026-09-22T09:49:13.551155+08:00,0,0.68,0.32,0.36,jev-1.13.0,364.57,310,31
60,random-bits-20260922-094842-551239,60,2026-09-22T09:49:13.916082+08:00,0,0.67,0.33,0.34,jev-1.13.0,1026.19,310,31
61,random-bits-20260922-094842-551239,61,2026-09-22T09:49:14.942626+08:00,0,0.68,0.32,0.36,jev-1.13.0,633.71,310,31
62,random-bits-20260922-094842-551239,62,2026-09-22T09:49:15.576583+08:00,0,0.7,0.3,0.4,jev-1.13.0,361.94,310,31
63,random-bits-20260922-094842-551239,63,2026-09-22T09:49:15.938811+08:00,0,0.69,0.31,0.38,jev-1.13.0,356.79,310,31
64,random-bits-20260922-094842-551239,64,2026-09-22T09:49:16.295879+08:00,0,0.7,0.3,0.4,jev-1.13.0,417.05,310,31
65,random-bits-20260922-094842-551239,65,2026-09-22T09:49:16.713181+08:00,0,0.68,0.32,0.37,jev-1.13.0,666.56,310,31
66,random-bits-20260922-094842-551239,66,2026-09-22T09:49:17.380070+08:00,0,0.66,0.34,0.32,jev-1.13.0,349.53,310,31
67,random-bits-20260922-094842-551239,67,2026-09-22T09:49:17.729865+08:00,0,0.69,0.31,0.38,jev-1.13.0,373.87,310,31
68,random-bits-20260922-094842-551239,68,2026-09-22T09:49:18.103984+08:00,0,0.7,0.3,0.4,jev-1.13.0,402.37,310,31
69,random-bits-20260922-094842-551239,69,2026-09-22T09:49:18.506598+08:00,0,0.69,0.31,0.37,jev-1.13.0,361.88,310,31
70,random-bits-20260922-094842-551239,70,2026-09-22T09:49:18.868712+08:00,0,0.67,0.33,0.33,jev-1.13.0,364.7,310,31
71,random-bits-20260922-094842-551239,71,2026-09-22T09:49:19.233803+08:00,0,0.67,0.33,0.33,jev-1.13.0,359.35,310,31
72,random-bits-20260922-094842-551239,72,2026-09-22T09:49:19.593403+08:00,0,0.68,0.32,0.35,jev-1.13.0,982.6,310,31
73,random-bits-20260922-094842-551239,73,2026-09-22T09:49:20.576217+08:00,0,0.7,0.3,0.39,jev-1.13.0,398.66,310,31
74,random-bits-20260922-094842-551239,74,2026-09-22T09:49:20.975211+08:00,0,0.67,0.33,0.34,jev-1.13.0,412.28,310,31
75,random-bits-20260922-094842-551239,75,2026-09-22T09:49:21.387910+08:00,0,0.69,0.31,0.38,jev-1.13.0,651.93,310,31
76,random-bits-20260922-094842-551239,76,2026-09-22T09:49:22.040098+08:00,0,0.68,0.32,0.35,jev-1.13.0,366.64,310,31
77,random-bits-20260922-094842-551239,77,2026-09-22T09:49:22.406981+08:00,0,0.69,0.31,0.38,jev-1.13.0,1017.02,310,31
78,random-bits-20260922-094842-551239,78,2026-09-22T09:49:23.424244+08:00,0,0.68,0.32,0.36,jev-1.13.0,356.42,310,31
79,random-bits-20260922-094842-551239,79,2026-09-22T09:49:23.780991+08:00,0,0.68,0.32,0.35,jev-1.13.0,607.68,310,31
80,random-bits-20260922-094842-551239,80,2026-09-22T09:49:24.388971+08:00,0,0.67,0.33,0.34,jev-1.13.0,372.48,310,31
81,random-bits-20260922-094842-551239,81,2026-09-22T09:49:24.761734+08:00,0,0.71,0.29,0.42,jev-1.13.0,1051.39,310,31
82,random-bits-20260922-094842-551239,82,2026-09-22T09:49:25.813380+08:00,0,0.67,0.33,0.35,jev-1.13.0,624.43,310,31
83,random-bits-20260922-094842-551239,83,2026-09-22T09:49:26.438170+08:00,0,0.69,0.31,0.37,jev-1.13.0,383.85,310,31
84,random-bits-20260922-094842-551239,84,2026-09-22T09:49:26.822297+08:00,0,0.67,0.33,0.33,jev-1.13.0,375.23,310,31
85,random-bits-20260922-094842-551239,85,2026-09-22T09:49:27.197745+08:00,0,0.7,0.3,0.4,jev-1.13.0,367.07,310,31
86,random-bits-20260922-094842-551239,86,2026-09-22T09:49:27.565052+08:00,0,0.68,0.32,0.37,jev-1.13.0,368.36,310,31
87,random-bits-20260922-094842-551239,87,2026-09-22T09:49:27.933745+08:00,0,0.69,0.31,0.38,jev-1.13.0,426.44,310,31
88,random-bits-20260922-094842-551239,88,2026-09-22T09:49:28.360420+08:00,0,0.68,0.32,0.36,jev-1.13.0,392.11,310,31
89,random-bits-20260922-094842-551239,89,2026-09-22T09:49:28.752779+08:00,0,0.72,0.28,0.44,jev-1.13.0,356.0,310,31
90,random-bits-20260922-094842-551239,90,2026-09-22T09:49:29.109149+08:00,0,0.7,0.3,0.39,jev-1.13.0,405.35,310,31
91,random-bits-20260922-094842-551239,91,2026-09-22T09:49:29.514742+08:00,0,0.7,0.3,0.4,jev-1.13.0,362.72,310,31
92,random-bits-20260922-094842-551239,92,2026-09-22T09:49:29.877772+08:00,0,0.68,0.32,0.36,jev-1.13.0,367.89,310,31
93,random-bits-20260922-094842-551239,93,2026-09-22T09:49:30.245898+08:00,0,0.67,0.33,0.34,jev-1.13.0,1036.08,310,31
94,random-bits-20260922-094842-551239,94,2026-09-22T09:49:31.282222+08:00,0,0.69,0.31,0.38,jev-1.13.0,419.7,310,31
95,random-bits-20260922-094842-551239,95,2026-09-22T09:49:31.702204+08:00,0,0.66,0.34,0.33,jev-1.13.0,346.93,310,31
96,random-bits-20260922-094842-551239,96,2026-09-22T09:49:32.049366+08:00,0,0.69,0.31,0.38,jev-1.13.0,384.41,310,31
97,random-bits-20260922-094842-551239,97,2026-09-22T09:49:32.434085+08:00,0,0.71,0.29,0.42,jev-1.13.0,403.5,310,31
98,random-bits-20260922-094842-551239,98,2026-09-22T09:49:32.837923+08:00,0,0.69,0.31,0.37,jev-1.13.0,383.2,310,31
99,random-bits-20260922-094842-551239,99,2026-09-22T09:49:33.221498+08:00,0,0.71,0.29,0.42,jev-1.13.0,367.44,310,31
100,random-bits-20260922-094842-551239,100,2026-09-22T09:49:33.589197+08:00,0,0.66,0.34,0.32,jev-1.13.0,511.29,310,31
101,random-bits-20260922-094842-551239,101,2026-09-22T09:49:34.100825+08:00,0,0.69,0.31,0.38,jev-1.13.0,1077.45,310,31
102,random-bits-20260922-094842-551239,102,2026-09-22T09:49:35.178558+08:00,0,0.69,0.31,0.37,jev-1.13.0,405.35,310,31
103,random-bits-20260922-094842-551239,103,2026-09-22T09:49:35.584170+08:00,0,0.69,0.31,0.37,jev-1.13.0,370.35,310,31
104,random-bits-20260922-094842-551239,104,2026-09-22T09:49:35.954777+08:00,0,0.68,0.32,0.36,jev-1.13.0,392.5,310,31
105,random-bits-20260922-094842-551239,105,2026-09-22T09:49:36.347591+08:00,0,0.68,0.32,0.36,jev-1.13.0,361.76,310,31
106,random-bits-20260922-094842-551239,106,2026-09-22T09:49:36.709707+08:00,0,0.69,0.31,0.39,jev-1.13.0,376.13,310,31
107,random-bits-20260922-094842-551239,107,2026-09-22T09:49:37.086077+08:00,0,0.71,0.29,0.41,jev-1.13.0,348.4,310,31
108,random-bits-20260922-094842-551239,108,2026-09-22T09:49:37.434758+08:00,0,0.66,0.34,0.33,jev-1.13.0,394.99,310,31
109,random-bits-20260922-094842-551239,109,2026-09-22T09:49:37.830094+08:00,0,0.68,0.32,0.36,jev-1.13.0,377.16,310,31
110,random-bits-20260922-094842-551239,110,2026-09-22T09:49:38.207657+08:00,0,0.68,0.32,0.35,jev-1.13.0,372.56,310,31
111,random-bits-20260922-094842-551239,111,2026-09-22T09:49:38.580484+08:00,0,0.69,0.31,0.39,jev-1.13.0,451.64,310,31
112,random-bits-20260922-094842-551239,112,2026-09-22T09:49:39.032463+08:00,0,0.69,0.31,0.38,jev-1.13.0,364.29,310,31
113,random-bits-20260922-094842-551239,113,2026-09-22T09:49:39.397047+08:00,0,0.72,0.28,0.44,jev-1.13.0,351.77,310,31
114,random-bits-20260922-094842-551239,114,2026-09-22T09:49:39.749130+08:00,0,0.68,0.32,0.36,jev-1.13.0,1085.62,310,31
115,random-bits-20260922-094842-551239,115,2026-09-22T09:49:40.835005+08:00,0,0.68,0.32,0.35,jev-1.13.0,516.67,310,31
116,random-bits-20260922-094842-551239,116,2026-09-22T09:49:41.351947+08:00,0,0.71,0.29,0.42,jev-1.13.0,392.14,310,31
117,random-bits-20260922-094842-551239,117,2026-09-22T09:49:41.744410+08:00,0,0.71,0.29,0.42,jev-1.13.0,392.15,310,31
118,random-bits-20260922-094842-551239,118,2026-09-22T09:49:42.136790+08:00,0,0.68,0.32,0.37,jev-1.13.0,380.73,310,31
119,random-bits-20260922-094842-551239,119,2026-09-22T09:49:42.517771+08:00,0,0.69,0.31,0.38,jev-1.13.0,397.79,310,31
120,random-bits-20260922-094842-551239,120,2026-09-22T09:49:42.915890+08:00,0,0.68,0.32,0.37,jev-1.13.0,384.24,310,31
121,random-bits-20260922-094842-551239,121,2026-09-22T09:49:43.300492+08:00,0,0.69,0.31,0.39,jev-1.13.0,384.03,310,31
122,random-bits-20260922-094842-551239,122,2026-09-22T09:49:43.684868+08:00,0,0.68,0.32,0.37,jev-1.13.0,418.52,310,31
123,random-bits-20260922-094842-551239,123,2026-09-22T09:49:44.103744+08:00,0,0.69,0.31,0.38,jev-1.13.0,1014.94,310,31
124,random-bits-20260922-094842-551239,124,2026-09-22T09:49:45.119039+08:00,0,0.68,0.32,0.37,jev-1.13.0,386.02,310,31
125,random-bits-20260922-094842-551239,125,2026-09-22T09:49:45.505413+08:00,0,0.71,0.29,0.41,jev-1.13.0,837.42,310,31
126,random-bits-20260922-094842-551239,126,2026-09-22T09:49:46.343152+08:00,0,0.7,0.3,0.41,jev-1.13.0,393.43,310,31
127,random-bits-20260922-094842-551239,127,2026-09-22T09:49:46.736858+08:00,0,0.71,0.29,0.41,jev-1.13.0,813.09,310,31
128,random-bits-20260922-094842-551239,128,2026-09-22T09:49:47.550308+08:00,0,0.66,0.34,0.31,jev-1.13.0,359.28,310,31
129,random-bits-20260922-094842-551239,129,2026-09-22T09:49:47.909937+08:00,0,0.7,0.3,0.41,jev-1.13.0,1027.89,310,31
130,random-bits-20260922-094842-551239,130,2026-09-22T09:49:48.938247+08:00,0,0.69,0.31,0.37,jev-1.13.0,356.1,310,31
131,random-bits-20260922-094842-551239,131,2026-09-22T09:49:49.294697+08:00,0,0.72,0.28,0.44,jev-1.13.0,681.73,310,31
132,random-bits-20260922-094842-551239,132,2026-09-22T09:49:49.976690+08:00,0,0.69,0.31,0.38,jev-1.13.0,619.64,310,31
133,random-bits-20260922-094842-551239,133,2026-09-22T09:49:50.596611+08:00,0,0.66,0.34,0.32,jev-1.13.0,416.91,310,31
134,random-bits-20260922-094842-551239,134,2026-09-22T09:49:51.013867+08:00,0,0.71,0.29,0.42,jev-1.13.0,380.9,310,31
135,random-bits-20260922-094842-551239,135,2026-09-22T09:49:51.395130+08:00,0,0.68,0.32,0.37,jev-1.13.0,391.15,310,31
136,random-bits-20260922-094842-551239,136,2026-09-22T09:49:51.786627+08:00,0,0.69,0.31,0.38,jev-1.13.0,393.23,310,31
137,random-bits-20260922-094842-551239,137,2026-09-22T09:49:52.180187+08:00,0,0.7,0.3,0.39,jev-1.13.0,412.84,310,31
138,random-bits-20260922-094842-551239,138,2026-09-22T09:49:52.593389+08:00,0,0.67,0.33,0.34,jev-1.13.0,370.7,310,31
139,random-bits-20260922-094842-551239,139,2026-09-22T09:49:52.964399+08:00,0,0.68,0.32,0.37,jev-1.13.0,999.79,310,31
140,random-bits-20260922-094842-551239,140,2026-09-22T09:49:53.964534+08:00,0,0.7,0.3,0.4,jev-1.13.0,403.85,310,31
141,random-bits-20260922-094842-551239,141,2026-09-22T09:49:54.368763+08:00,0,0.69,0.31,0.37,jev-1.13.0,358.55,310,31
142,random-bits-20260922-094842-551239,142,2026-09-22T09:49:54.727703+08:00,0,0.71,0.29,0.41,jev-1.13.0,377.89,310,31
143,random-bits-20260922-094842-551239,143,2026-09-22T09:49:55.105849+08:00,0,0.68,0.32,0.37,jev-1.13.0,403.28,310,31
144,random-bits-20260922-094842-551239,144,2026-09-22T09:49:55.509467+08:00,0,0.67,0.33,0.35,jev-1.13.0,367.27,310,31
145,random-bits-20260922-094842-551239,145,2026-09-22T09:49:55.876986+08:00,0,0.71,0.29,0.42,jev-1.13.0,367.12,310,31
146,random-bits-20260922-094842-551239,146,2026-09-22T09:49:56.244477+08:00,0,0.7,0.3,0.41,jev-1.13.0,380.31,310,31
147,random-bits-20260922-094842-551239,147,2026-09-22T09:49:56.625053+08:00,0,0.68,0.32,0.35,jev-1.13.0,377.98,310,31
148,random-bits-20260922-094842-551239,148,2026-09-22T09:49:57.003334+08:00,0,0.7,0.3,0.4,jev-1.13.0,332.78,310,31
149,random-bits-20260922-094842-551239,149,2026-09-22T09:49:57.336359+08:00,0,0.65,0.35,0.3,jev-1.13.0,351.81,310,31
150,random-bits-20260922-094842-551239,150,2026-09-22T09:49:57.688501+08:00,0,0.68,0.32,0.37,jev-1.13.0,386.26,310,31
151,random-bits-20260922-094842-551239,151,2026-09-22T09:49:58.075005+08:00,0,0.68,0.32,0.37,jev-1.13.0,641.65,310,31
152,random-bits-20260922-094842-551239,152,2026-09-22T09:49:58.716903+08:00,0,0.68,0.32,0.36,jev-1.13.0,373.12,310,31
153,random-bits-20260922-094842-551239,153,2026-09-22T09:49:59.090277+08:00,0,0.66,0.34,0.31,jev-1.13.0,376.07,310,31
154,random-bits-20260922-094842-551239,154,2026-09-22T09:49:59.466644+08:00,0,0.69,0.31,0.38,jev-1.13.0,394.88,310,31
155,random-bits-20260922-094842-551239,155,2026-09-22T09:49:59.861804+08:00,0,0.69,0.31,0.37,jev-1.13.0,811.4,310,31
156,random-bits-20260922-094842-551239,156,2026-09-22T09:50:00.673469+08:00,0,0.7,0.3,0.4,jev-1.13.0,1047.37,310,31
157,random-bits-20260922-094842-551239,157,2026-09-22T09:50:01.721102+08:00,0,0.69,0.31,0.38,jev-1.13.0,365.17,310,31
158,random-bits-20260922-094842-551239,158,2026-09-22T09:50:02.086514+08:00,0,0.7,0.3,0.39,jev-1.13.0,369.6,310,31
159,random-bits-20260922-094842-551239,159,2026-09-22T09:50:02.456383+08:00,0,0.72,0.28,0.43,jev-1.13.0,387.55,310,31
160,random-bits-20260922-094842-551239,160,2026-09-22T09:50:02.844278+08:00,0,0.71,0.29,0.43,jev-1.13.0,396.64,310,31
161,random-bits-20260922-094842-551239,161,2026-09-22T09:50:03.241281+08:00,0,0.69,0.31,0.39,jev-1.13.0,370.09,310,31
162,random-bits-20260922-094842-551239,162,2026-09-22T09:50:03.611714+08:00,0,0.71,0.29,0.42,jev-1.13.0,371.43,310,31
163,random-bits-20260922-094842-551239,163,2026-09-22T09:50:03.983430+08:00,0,0.69,0.31,0.39,jev-1.13.0,345.29,310,31
164,random-bits-20260922-094842-551239,164,2026-09-22T09:50:04.329052+08:00,0,0.69,0.31,0.38,jev-1.13.0,368.78,310,31
165,random-bits-20260922-094842-551239,165,2026-09-22T09:50:04.698143+08:00,0,0.69,0.31,0.39,jev-1.13.0,360.37,310,31
166,random-bits-20260922-094842-551239,166,2026-09-22T09:50:05.058831+08:00,0,0.71,0.29,0.42,jev-1.13.0,370.6,310,31
167,random-bits-20260922-094842-551239,167,2026-09-22T09:50:05.429649+08:00,0,0.7,0.3,0.39,jev-1.13.0,385.85,310,31
168,random-bits-20260922-094842-551239,168,2026-09-22T09:50:05.815837+08:00,0,0.71,0.29,0.42,jev-1.13.0,367.88,310,31
169,random-bits-20260922-094842-551239,169,2026-09-22T09:50:06.183990+08:00,0,0.69,0.31,0.38,jev-1.13.0,1026.66,310,31
170,random-bits-20260922-094842-551239,170,2026-09-22T09:50:07.210949+08:00,0,0.68,0.32,0.36,jev-1.13.0,417.18,310,31
171,random-bits-20260922-094842-551239,171,2026-09-22T09:50:07.628501+08:00,0,0.7,0.3,0.4,jev-1.13.0,360.09,310,31
172,random-bits-20260922-094842-551239,172,2026-09-22T09:50:07.988983+08:00,0,0.65,0.35,0.3,jev-1.13.0,440.18,310,31
173,random-bits-20260922-094842-551239,173,2026-09-22T09:50:08.429430+08:00,0,0.7,0.3,0.4,jev-1.13.0,647.17,310,31
174,random-bits-20260922-094842-551239,174,2026-09-22T09:50:09.076838+08:00,0,0.7,0.3,0.4,jev-1.13.0,431.18,310,31
175,random-bits-20260922-094842-551239,175,2026-09-22T09:50:09.508359+08:00,0,0.67,0.33,0.33,jev-1.13.0,394.15,310,31
176,random-bits-20260922-094842-551239,176,2026-09-22T09:50:09.902806+08:00,0,0.7,0.3,0.4,jev-1.13.0,347.47,310,31
177,random-bits-20260922-094842-551239,177,2026-09-22T09:50:10.250614+08:00,0,0.69,0.31,0.39,jev-1.13.0,368.64,310,31
178,random-bits-20260922-094842-551239,178,2026-09-22T09:50:10.619573+08:00,0,0.68,0.32,0.36,jev-1.13.0,1013.31,310,31
179,random-bits-20260922-094842-551239,179,2026-09-22T09:50:11.633282+08:00,0,0.71,0.29,0.42,jev-1.13.0,356.76,310,31
180,random-bits-20260922-094842-551239,180,2026-09-22T09:50:11.990277+08:00,0,0.67,0.33,0.34,jev-1.13.0,385.59,310,31
181,random-bits-20260922-094842-551239,181,2026-09-22T09:50:12.376143+08:00,0,0.68,0.32,0.36,jev-1.13.0,385.95,310,31
182,random-bits-20260922-094842-551239,182,2026-09-22T09:50:12.762331+08:00,0,0.7,0.3,0.4,jev-1.13.0,355.49,310,31
183,random-bits-20260922-094842-551239,183,2026-09-22T09:50:13.118160+08:00,0,0.7,0.3,0.4,jev-1.13.0,385.79,310,31
184,random-bits-20260922-094842-551239,184,2026-09-22T09:50:13.504228+08:00,0,0.68,0.32,0.36,jev-1.13.0,376.65,310,31
185,random-bits-20260922-094842-551239,185,2026-09-22T09:50:13.881143+08:00,0,0.66,0.34,0.32,jev-1.13.0,353.59,310,31
186,random-bits-20260922-094842-551239,186,2026-09-22T09:50:14.234992+08:00,0,0.69,0.31,0.38,jev-1.13.0,361.7,310,31
187,random-bits-20260922-094842-551239,187,2026-09-22T09:50:14.597030+08:00,0,0.7,0.3,0.4,jev-1.13.0,380.09,310,31
188,random-bits-20260922-094842-551239,188,2026-09-22T09:50:14.977494+08:00,0,0.71,0.29,0.42,jev-1.13.0,431.47,310,31
189,random-bits-20260922-094842-551239,189,2026-09-22T09:50:15.409213+08:00,0,0.7,0.3,0.41,jev-1.13.0,365.17,310,31
190,random-bits-20260922-094842-551239,190,2026-09-22T09:50:15.774631+08:00,0,0.75,0.25,0.51,jev-1.13.0,369.84,310,31
191,random-bits-20260922-094842-551239,191,2026-09-22T09:50:16.144723+08:00,0,0.67,0.33,0.34,jev-1.13.0,394.4,310,31
192,random-bits-20260922-094842-551239,192,2026-09-22T09:50:16.539426+08:00,0,0.66,0.34,0.31,jev-1.13.0,404.36,310,31
193,random-bits-20260922-094842-551239,193,2026-09-22T09:50:16.944051+08:00,0,0.68,0.32,0.37,jev-1.13.0,414.66,310,31
194,random-bits-20260922-094842-551239,194,2026-09-22T09:50:17.359056+08:00,0,0.7,0.3,0.39,jev-1.13.0,380.11,310,31
195,random-bits-20260922-094842-551239,195,2026-09-22T09:50:17.739451+08:00,0,0.7,0.3,0.4,jev-1.13.0,351.86,310,31
196,random-bits-20260922-094842-551239,196,2026-09-22T09:50:18.091640+08:00,0,0.7,0.3,0.4,jev-1.13.0,1006.68,310,31
197,random-bits-20260922-094842-551239,197,2026-09-22T09:50:19.098628+08:00,0,0.68,0.32,0.37,jev-1.13.0,395.12,310,31
198,random-bits-20260922-094842-551239,198,2026-09-22T09:50:19.494050+08:00,0,0.69,0.31,0.38,jev-1.13.0,404.63,310,31
